ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
67162.0,0,0,2014.0,4.2,3.77,4.37,4.16,4.51,2.99,0,1,1,2.006189723625158,1.3344689315839335
57610.0,0,1,2014.0,4.06,3.0,4.02,4.81,4.71,2.85,0,1,1,1.6479031572112663,1.6213474039378155
29869.0,0,0,2014.0,3.7,3.69,3.35,3.65,4.06,2.64,0,2,2,0.41661844527610054,1.936073838414723
55505.0,0,0,2014.0,3.62,3.85,3.37,3.68,3.58,2.29,0,2,2,0.09182347189164679,1.8079105531913966
54816.0,0,0,2014.0,4.24,4.33,4.04,4.52,4.24,3.2,0,1,1,2.2932479003796047,1.4149834689353449
69822.0,0,1,2014.0,3.07,2.96,2.94,3.52,3.02,2.41,1,2,2,-1.3799662606287106,1.4725111253402687
29696.0,0,0,2014.0,3.72,3.58,3.65,3.84,3.83,2.47,0,2,2,0.44604436271158804,1.987525387835336
96250.0,0,0,2014.0,4.11,3.96,4.13,4.35,4.09,3.33,0,1,1,1.9182124713470716,0.8125104827115438
62285.0,0,0,2014.0,4.38,3.98,4.13,4.77,4.8,3.98,0,1,1,2.953325829705349,0.9455136492579791
92589.0,0,0,2014.0,3.03,3.31,2.54,2.97,3.25,2.78,1,0,0,-1.4495204229592988,1.039112252959074
97014.0,0,0,2014.0,3.26,3.5,2.96,3.32,3.27,4.18,1,2,2,-0.22787741724082858,0.15479848225060167
29835.000000000004,0,1,2014.0,4.33,3.69,4.19,4.94,4.73,2.57,0,1,1,2.3046415481234095,2.133052460771316
56265.0,10,1,2010.0,4.13,4.35,3.48,4.43,4.35,3.19,0,1,1,1.872644802831187,-1.174633697627953
32236.0,10,1,2010.0,2.92,3.1,2.27,3.39,3.2,3.59,1,0,0,-1.3493927036202042,-1.387765744085051
95984.0,10,0,2010.0,3.17,2.71,2.85,3.93,3.56,2.86,1,2,2,-0.8968448484551652,-1.6132547419333436
24519.0,10,0,2010.0,3.98,3.58,3.66,4.67,4.27,2.97,0,1,1,1.4234631094405168,-0.7486584642626763
29994.000000000004,10,0,2010.0,3.96,3.9,3.71,4.07,4.23,2.99,0,1,1,1.3059457715045533,-0.8829320271806435
64063.0,10,0,2010.0,4.26,4.17,4.13,4.3,4.46,2.29,0,1,1,1.8755952541814047,-0.8011084805498287
83948.0,10,0,2010.0,3.85,3.67,3.7,4.17,4.0,4.11,0,2,2,1.4363544124087901,-2.1794162602801173
33118.0,10,0,2010.0,3.19,3.02,2.69,3.57,3.28,3.28,1,2,2,-0.9566800743046618,-1.2230399274462502
94989.0,10,1,2011.0,3.78,3.57,3.24,4.39,4.19,3.52,0,2,2,1.0704150162163724,-1.181004611189639
27993.0,10,0,2011.0,3.12,3.2,2.55,3.61,3.49,2.86,1,2,2,-0.993989605228799,-0.19694729562478186
55933.0,10,0,2011.0,4.7,4.7,4.53,4.86,4.8,3.68,0,1,1,3.7136209892908956,-0.7850247856963574
54319.0,10,1,2011.0,3.14,3.26,2.55,3.81,3.41,3.82,1,2,2,-0.5270763137027504,-1.0469394342037366
37769.0,10,1,2011.0,2.29,2.53,1.98,2.52,2.29,2.73,1,0,0,-3.512406307197398,-0.5048765850801052
65790.0,10,0,2011.0,2.61,2.59,2.03,2.65,3.29,2.73,1,0,0,-2.6381093536492157,-0.6480226988697199
